Service_ID,Internet_Service_ID,Online_Security,Online_Backup,Device_Pro_Plan,Premium_TSupport,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data
301011001,3,0,1,0,1,1,0,0,1
300000110,3,0,0,0,0,0,1,1,0
200100001,2,0,0,1,0,0,0,0,1
201101101,2,0,1,1,0,1,1,0,1
200011001,2,0,0,0,1,1,0,0,1
300011111,3,0,0,0,1,1,1,1,1
211111111,2,1,1,1,1,1,1,1,1
210010000,2,1,0,0,1,0,0,0,0
110000001,1,1,0,0,0,0,0,0,1
311111111,3,1,1,1,1,1,1,1,1
310011001,3,1,0,0,1,1,0,0,1
200000001,2,0,0,0,0,0,0,0,1
211101001,2,1,1,1,0,1,0,0,1
111110001,1,1,1,1,1,0,0,0,1
201100111,2,0,1,1,0,0,1,1,1
110111111,1,1,0,1,1,1,1,1,1
110100101,1,1,0,1,0,0,1,0,1
300000001,3,0,0,0,0,0,0,0,1
400000000,4,0,0,0,0,0,0,0,0
201101001,2,0,1,1,0,1,0,0,1
200001001,2,0,0,0,0,1,0,0,1
201111110,2,0,1,1,1,1,1,1,0
200001111,2,0,0,0,0,1,1,1,1
310110001,3,1,0,1,1,0,0,0,1
210001001,2,1,0,0,0,1,0,0,1
211001001,2,1,1,0,0,1,0,0,1
101111111,1,0,1,1,1,1,1,1,1
311100001,3,1,1,1,0,0,0,0,1
301000001,3,0,1,0,0,0,0,0,1
200111111,2,0,0,1,1,1,1,1,1
100000001,1,0,0,0,0,0,0,0,1
200011110,2,0,0,0,1,1,1,1,0
111111000,1,1,1,1,1,1,0,0,0
200011111,2,0,0,0,1,1,1,1,1
200001101,2,0,0,0,0,1,1,0,1
201101111,2,0,1,1,0,1,1,1,1
201001100,2,0,1,0,0,1,1,0,0
110000111,1,1,0,0,0,0,1,1,1
201111111,2,0,1,1,1,1,1,1,1
100100001,1,0,0,1,0,0,0,0,1
101100111,1,0,1,1,0,0,1,1,1
200101111,2,0,0,1,0,1,1,1,1
201001111,2,0,1,0,0,1,1,1,1
200101001,2,0,0,1,0,1,0,0,1
310111111,3,1,0,1,1,1,1,1,1
301111111,3,0,1,1,1,1,1,1,1
111100001,1,1,1,1,0,0,0,0,1
110010001,1,1,0,0,1,0,0,0,1
200000011,2,0,0,0,0,0,0,1,1
111111111,1,1,1,1,1,1,1,1,1
110010111,1,1,0,0,1,0,1,1,1
201000110,2,0,1,0,0,0,1,1,0
211010001,2,1,1,0,1,0,0,0,1
100111111,1,0,0,1,1,1,1,1,1
201001001,2,0,1,0,0,1,0,0,1
201111101,2,0,1,1,1,1,1,0,1
201000001,2,0,1,0,0,0,0,0,1
201100001,2,0,1,1,0,0,0,0,1
210111101,2,1,0,1,1,1,1,0,1
210000001,2,1,0,0,0,0,0,0,1
310010001,3,1,0,0,1,0,0,0,1
111001101,1,1,1,0,0,1,1,0,1
211011111,2,1,1,0,1,1,1,1,1
200000110,2,0,0,0,0,0,1,1,0
200000101,2,0,0,0,0,0,1,0,1
210100000,2,1,0,1,0,0,0,0,0
210001111,2,1,0,0,0,1,1,1,1
210111111,2,1,0,1,1,1,1,1,1
301001111,3,0,1,0,0,1,1,1,1
211100000,2,1,1,1,0,0,0,0,0
201100011,2,0,1,1,0,0,0,1,1
200100111,2,0,0,1,0,0,1,1,1
110001111,1,1,0,0,0,1,1,1,1
300000011,3,0,0,0,0,0,0,1,1
201000111,2,0,1,0,0,0,1,1,1
100110001,1,0,0,1,1,0,0,0,1
111111001,1,1,1,1,1,1,0,0,1
200010001,2,0,0,0,1,0,0,0,1
110100111,1,1,0,1,0,0,1,1,1
211000000,2,1,1,0,0,0,0,0,0
211011001,2,1,1,0,1,1,0,0,1
101011111,1,0,1,0,1,1,1,1,1
311110111,3,1,1,1,1,0,1,1,1
200000111,2,0,0,0,0,0,1,1,1
101100011,1,0,1,1,0,0,0,1,1
310000001,3,1,0,0,0,0,0,0,1
300001011,3,0,0,0,0,1,0,1,1
300111111,3,0,0,1,1,1,1,1,1
210101111,2,1,0,1,0,1,1,1,1
311101111,3,1,1,1,0,1,1,1,1
100001001,1,0,0,0,0,1,0,0,1
300011110,3,0,0,0,1,1,1,1,0
100010001,1,0,0,0,1,0,0,0,1
111000001,1,1,1,0,0,0,0,0,1
100111001,1,0,0,1,1,1,0,0,1
101010110,1,0,1,0,1,0,1,1,0
101111001,1,0,1,1,1,1,0,0,1
100100110,1,0,0,1,0,0,1,1,0
110010000,1,1,0,0,1,0,0,0,0
201011101,2,0,1,0,1,1,1,0,1
101110001,1,0,1,1,1,0,0,0,1
200001110,2,0,0,0,0,1,1,1,0
311000000,3,1,1,0,0,0,0,0,0
200001010,2,0,0,0,0,1,0,1,0
101001001,1,0,1,0,0,1,0,0,1
211110111,2,1,1,1,1,0,1,1,1
210011111,2,1,0,0,1,1,1,1,1
200101110,2,0,0,1,0,1,1,1,0
201011111,2,0,1,0,1,1,1,1,1
311010000,3,1,1,0,1,0,0,0,0
201101110,2,0,1,1,0,1,1,1,0
200111110,2,0,0,1,1,1,1,1,0
200111101,2,0,0,1,1,1,1,0,1
201111001,2,0,1,1,1,1,0,0,1
111111110,1,1,1,1,1,1,1,1,0
200110001,2,0,0,1,1,0,0,0,1
110000000,1,1,0,0,0,0,0,0,0
300011011,3,0,0,0,1,1,0,1,1
111010011,1,1,1,0,1,0,0,1,1
200010111,2,0,0,0,1,0,1,1,1
111101111,1,1,1,1,0,1,1,1,1
101010011,1,0,1,0,1,0,0,1,1
210101110,2,1,0,1,0,1,1,1,0
211101111,2,1,1,1,0,1,1,1,1
100001000,1,0,0,0,0,1,0,0,0
110110001,1,1,0,1,1,0,0,0,1
200101101,2,0,0,1,0,1,1,0,1
201000000,2,0,1,0,0,0,0,0,0
301110001,3,0,1,1,1,0,0,0,1
101101111,1,0,1,1,0,1,1,1,1
201110111,2,0,1,1,1,0,1,1,1
211111101,2,1,1,1,1,1,1,0,1
310100110,3,1,0,1,0,0,1,1,0
201010001,2,0,1,0,1,0,0,0,1
111011111,1,1,1,0,1,1,1,1,1
300110000,3,0,0,1,1,0,0,0,0
201110001,2,0,1,1,1,0,0,0,1
100000110,1,0,0,0,0,0,1,1,0
100101111,1,0,0,1,0,1,1,1,1
100001111,1,0,0,0,0,1,1,1,1
210111001,2,1,0,1,1,1,0,0,1
300010001,3,0,0,0,1,0,0,0,1
200100000,2,0,0,1,0,0,0,0,0
310011111,3,1,0,0,1,1,1,1,1
200100101,2,0,0,1,0,0,1,0,1
200000000,2,0,0,0,0,0,0,0,0
211100001,2,1,1,1,0,0,0,0,1
111010001,1,1,1,0,1,0,0,0,1
201100000,2,0,1,1,0,0,0,0,0
101101001,1,0,1,1,0,1,0,0,1
111001111,1,1,1,0,0,1,1,1,1
310000111,3,1,0,0,0,0,1,1,1
300110001,3,0,0,1,1,0,0,0,1
111011001,1,1,1,0,1,1,0,0,1
200110111,2,0,0,1,1,0,1,1,1
111110111,1,1,1,1,1,0,1,1,1
211111001,2,1,1,1,1,1,0,0,1
210110111,2,1,0,1,1,0,1,1,1
211100011,2,1,1,1,0,0,0,1,1
301000111,3,0,1,0,0,0,1,1,1
211100111,2,1,1,1,0,0,1,1,1
311111001,3,1,1,1,1,1,0,0,1
310000000,3,1,0,0,0,0,0,0,0
301111011,3,0,1,1,1,1,0,1,1
310001111,3,1,0,0,0,1,1,1,1
110110111,1,1,0,1,1,0,1,1,1
210010110,2,1,0,0,1,0,1,1,0
310001001,3,1,0,0,0,1,0,0,1
310111001,3,1,0,1,1,1,0,0,1
101011001,1,0,1,0,1,1,0,0,1
210000111,2,1,0,0,0,0,1,1,1
210000000,2,1,0,0,0,0,0,0,0
110111001,1,1,0,1,1,1,0,0,1
100000000,1,0,0,0,0,0,0,0,0
100110111,1,0,0,1,1,0,1,1,1
210010111,2,1,0,0,1,0,1,1,1
201100101,2,0,1,1,0,0,1,0,1
310011110,3,1,0,0,1,1,1,1,0
311100111,3,1,1,1,0,0,1,1,1
301010000,3,0,1,0,1,0,0,0,0
310110111,3,1,0,1,1,0,1,1,1
301111001,3,0,1,1,1,1,0,0,1
300011001,3,0,0,0,1,1,0,0,1
301111110,3,0,1,1,1,1,1,1,0
300000100,3,0,0,0,0,0,1,0,0
211000111,2,1,1,0,0,0,1,1,1
310101111,3,1,0,1,0,1,1,1,1
111010111,1,1,1,0,1,0,1,1,1
210010001,2,1,0,0,1,0,0,0,1
100001101,1,0,0,0,0,1,1,0,1
210101001,2,1,0,1,0,1,0,0,1
100100111,1,0,0,1,0,0,1,1,1
111100111,1,1,1,1,0,0,1,1,1
200111001,2,0,0,1,1,1,0,0,1
110001001,1,1,0,0,0,1,0,0,1
311011111,3,1,1,0,1,1,1,1,1
111001110,1,1,1,0,0,1,1,1,0
301000000,3,0,1,0,0,0,0,0,0
100000111,1,0,0,0,0,0,1,1,1
101001110,1,0,1,0,0,1,1,1,0
100011001,1,0,0,0,1,1,0,0,1
211001111,2,1,1,0,0,1,1,1,1
100101001,1,0,0,1,0,1,0,0,1
211111110,2,1,1,1,1,1,1,1,0
210000011,2,1,0,0,0,0,0,1,1
310010000,3,1,0,0,1,0,0,0,0
310010111,3,1,0,0,1,0,1,1,1
211000001,2,1,1,0,0,0,0,0,1
311110001,3,1,1,1,1,0,0,0,1
210101101,2,1,0,1,0,1,1,0,1
300001110,3,0,0,0,0,1,1,1,0
310100111,3,1,0,1,0,0,1,1,1
201000100,2,0,1,0,0,0,1,0,0
200100010,2,0,0,1,0,0,0,1,0
111011110,1,1,1,0,1,1,1,1,0
210001110,2,1,0,0,0,1,1,1,0
101010001,1,0,1,0,1,0,0,0,1
300001111,3,0,0,0,0,1,1,1,1
311101001,3,1,1,1,0,1,0,0,1
101000001,1,0,1,0,0,0,0,0,1
101001111,1,0,1,0,0,1,1,1,1
311110110,3,1,1,1,1,0,1,1,0
210001101,2,1,0,0,0,1,1,0,1
201001101,2,0,1,0,0,1,1,0,1
201110000,2,0,1,1,1,0,0,0,0
110101111,1,1,0,1,0,1,1,1,1
100000011,1,0,0,0,0,0,0,1,1
200011101,2,0,0,0,1,1,1,0,1
101100001,1,0,1,1,0,0,0,0,1
211110101,2,1,1,1,1,0,1,0,1
201011001,2,0,1,0,1,1,0,0,1
301010001,3,0,1,0,1,0,0,0,1
211111000,2,1,1,1,1,1,0,0,0
301110111,3,0,1,1,1,0,1,1,1
110100001,1,1,0,1,0,0,0,0,1
101000111,1,0,1,0,0,0,1,1,1
201000101,2,0,1,0,0,0,1,0,1
111010000,1,1,1,0,1,0,0,0,0
101010000,1,0,1,0,1,0,0,0,0
101110111,1,0,1,1,1,0,1,1,1
100111110,1,0,0,1,1,1,1,1,0
201011110,2,0,1,0,1,1,1,1,0
111000111,1,1,1,0,0,0,1,1,1
210100001,2,1,0,1,0,0,0,0,1
300100001,3,0,0,1,0,0,0,0,1
310110110,3,1,0,1,1,0,1,1,0
101000011,1,0,1,0,0,0,0,1,1
211101101,2,1,1,1,0,1,1,0,1
300000111,3,0,0,0,0,0,1,1,1
111101001,1,1,1,1,0,1,0,0,1
211000101,2,1,1,0,0,0,1,0,1
100110101,1,0,0,1,1,0,1,0,1
301101001,3,0,1,1,0,1,0,0,1
200111100,2,0,0,1,1,1,1,0,0
300101111,3,0,0,1,0,1,1,1,1
211101110,2,1,1,1,0,1,1,1,0
110111110,1,1,0,1,1,1,1,1,0
100010111,1,0,0,0,1,0,1,1,1
310001110,3,1,0,0,0,1,1,1,0
210111110,2,1,0,1,1,1,1,1,0
201000011,2,0,1,0,0,0,0,1,1
210110000,2,1,0,1,1,0,0,0,0
300110111,3,0,0,1,1,0,1,1,1
201010111,2,0,1,0,1,0,1,1,1
311111110,3,1,1,1,1,1,1,1,0
200110110,2,0,0,1,1,0,1,1,0
100110000,1,0,0,1,1,0,0,0,0
110111011,1,1,0,1,1,1,0,1,1
211101000,2,1,1,1,0,1,0,0,0
210011110,2,1,0,0,1,1,1,1,0
311000001,3,1,1,0,0,0,0,0,1
210100101,2,1,0,1,0,0,1,0,1
211000100,2,1,1,0,0,0,1,0,0
211110110,2,1,1,1,1,0,1,1,0
101001101,1,0,1,0,0,1,1,0,1
100100000,1,0,0,1,0,0,0,0,0
201010110,2,0,1,0,1,0,1,1,0
110101001,1,1,0,1,0,1,0,0,1
111110110,1,1,1,1,1,0,1,1,0
201101000,2,0,1,1,0,1,0,0,0
201100110,2,0,1,1,0,0,1,1,0
310100001,3,1,0,1,0,0,0,0,1
211110001,2,1,1,1,1,0,0,0,1
111100000,1,1,1,1,0,0,0,0,0
301001001,3,0,1,0,0,1,0,0,1
201001000,2,0,1,0,0,1,0,0,0
100101101,1,0,0,1,0,1,1,0,1
200001000,2,0,0,0,0,1,0,0,0
211010111,2,1,1,0,1,0,1,1,1
211011110,2,1,1,0,1,1,1,1,0
301101111,3,0,1,1,0,1,1,1,1
111101101,1,1,1,1,0,1,1,0,1
301100001,3,0,1,1,0,0,0,0,1
301011111,3,0,1,0,1,1,1,1,1
100011111,1,0,0,0,1,1,1,1,1
100111000,1,0,0,1,1,1,0,0,0
200101000,2,0,0,1,0,1,0,0,0
300111001,3,0,0,1,1,1,0,0,1
101111110,1,0,1,1,1,1,1,1,0
111001001,1,1,1,0,0,1,0,0,1
111111100,1,1,1,1,1,1,1,0,0
110011111,1,1,0,0,1,1,1,1,1
110000101,1,1,0,0,0,0,1,0,1
300100111,3,0,0,1,0,0,1,1,1
101101110,1,0,1,1,0,1,1,1,0
200101011,2,0,0,1,0,1,0,1,1
200100011,2,0,0,1,0,0,0,1,1
211010000,2,1,1,0,1,0,0,0,0
101100110,1,0,1,1,0,0,1,1,0
100001011,1,0,0,0,0,1,0,1,1
210111011,2,1,0,1,1,1,0,1,1
311010001,3,1,1,0,1,0,0,0,1
200011100,2,0,0,0,1,1,1,0,0
210100111,2,1,0,1,0,0,1,1,1
311100000,3,1,1,1,0,0,0,0,0
311011001,3,1,1,0,1,1,0,0,1
210000100,2,1,0,0,0,0,1,0,0
301111101,3,0,1,1,1,1,1,0,1
111010110,1,1,1,0,1,0,1,1,0
100000101,1,0,0,0,0,0,1,0,1
101001000,1,0,1,0,0,1,0,0,0
110100110,1,1,0,1,0,0,1,1,0
311001110,3,1,1,0,0,1,1,1,0
100001110,1,0,0,0,0,1,1,1,0
300111101,3,0,0,1,1,1,1,0,1
300000000,3,0,0,0,0,0,0,0,0
110011001,1,1,0,0,1,1,0,0,1
311010111,3,1,1,0,1,0,1,1,1
211101100,2,1,1,1,0,1,1,0,0
200000100,2,0,0,0,0,0,1,0,0
110100000,1,1,0,1,0,0,0,0,0
201101100,2,0,1,1,0,1,1,0,0
301100101,3,0,1,1,0,0,1,0,1
200110000,2,0,0,1,1,0,0,0,0
310101011,3,1,0,1,0,1,0,1,1
300000010,3,0,0,0,0,0,0,1,0
100111101,1,0,0,1,1,1,1,0,1
300010111,3,0,0,0,1,0,1,1,1
300101001,3,0,0,1,0,1,0,0,1
211100101,2,1,1,1,0,0,1,0,1
201011100,2,0,1,0,1,1,1,0,0
300001001,3,0,0,0,0,1,0,0,1
310101110,3,1,0,1,0,1,1,1,0
211000011,2,1,1,0,0,0,0,1,1
210000101,2,1,0,0,0,0,1,0,1
201001110,2,0,1,0,0,1,1,1,0
310110000,3,1,0,1,1,0,0,0,0
211110000,2,1,1,1,1,0,0,0,0
200010011,2,0,0,0,1,0,0,1,1
200100110,2,0,0,1,0,0,1,1,0
110101110,1,1,0,1,0,1,1,1,0
310101001,3,1,0,1,0,1,0,0,1
300101110,3,0,0,1,0,1,1,1,0
111011000,1,1,1,0,1,1,0,0,0
311001111,3,1,1,0,0,1,1,1,1
210011101,2,1,0,0,1,1,1,0,1
211100110,2,1,1,1,0,0,1,1,0
101000000,1,0,1,0,0,0,0,0,0
201101011,2,0,1,1,0,1,0,1,1
311101101,3,1,1,1,0,1,1,0,1
100000010,1,0,0,0,0,0,0,1,0
100101110,1,0,0,1,0,1,1,1,0
111000101,1,1,1,0,0,0,1,0,1
101110110,1,0,1,1,1,0,1,1,0
201011011,2,0,1,0,1,1,0,1,1
211011100,2,1,1,0,1,1,1,0,0
111111101,1,1,1,1,1,1,1,0,1
100010000,1,0,0,0,1,0,0,0,0
211011101,2,1,1,0,1,1,1,0,1
301100111,3,0,1,1,0,0,1,1,1
101101101,1,0,1,1,0,1,1,0,1
111101110,1,1,1,1,0,1,1,1,0
200001100,2,0,0,0,0,1,1,0,0
201111100,2,0,1,1,1,1,1,0,0
310111101,3,1,0,1,1,1,1,0,1
101100101,1,0,1,1,0,0,1,0,1
311001001,3,1,1,0,0,1,0,0,1
301010111,3,0,1,0,1,0,1,1,1
210110100,2,1,0,1,1,0,1,0,0
301101110,3,0,1,1,0,1,1,1,0
210001010,2,1,0,0,0,1,0,1,0
310111110,3,1,0,1,1,1,1,1,0
301101100,3,0,1,1,0,1,1,0,0
100110110,1,0,0,1,1,0,1,1,0
300001101,3,0,0,0,0,1,1,0,1
111000011,1,1,1,0,0,0,0,1,1
101000110,1,0,1,0,0,0,1,1,0
210011001,2,1,0,0,1,1,0,0,1
211001110,2,1,1,0,0,1,1,1,0
300101100,3,0,0,1,0,1,1,0,0
301010110,3,0,1,0,1,0,1,1,0
201010010,2,0,1,0,1,0,0,1,0
111010010,1,1,1,0,1,0,0,1,0
111000110,1,1,1,0,0,0,1,1,0
111001000,1,1,1,0,0,1,0,0,0
111100101,1,1,1,1,0,0,1,0,1
211000110,2,1,1,0,0,0,1,1,0
101100000,1,0,1,1,0,0,0,0,0
201010101,2,0,1,0,1,0,1,0,1
101010111,1,0,1,0,1,0,1,1,1
201010000,2,0,1,0,1,0,0,0,0
110011100,1,1,0,0,1,1,1,0,0
210110101,2,1,0,1,1,0,1,0,1
101011110,1,0,1,0,1,1,1,1,0
110110000,1,1,0,1,1,0,0,0,0
311000011,3,1,1,0,0,0,0,1,1
101000101,1,0,1,0,0,0,1,0,1
200011011,2,0,0,0,1,1,0,1,1
210011011,2,1,0,0,1,1,0,1,1
110000110,1,1,0,0,0,0,1,1,0
200001011,2,0,0,0,0,1,0,1,1
110010110,1,1,0,0,1,0,1,1,0
311001000,3,1,1,0,0,1,0,0,0
101001010,1,0,1,0,0,1,0,1,0
311110101,3,1,1,1,1,0,1,0,1
300000101,3,0,0,0,0,0,1,0,1
200000010,2,0,0,0,0,0,0,1,0
101111100,1,0,1,1,1,1,1,0,0
200010110,2,0,0,0,1,0,1,1,0
110110101,1,1,0,1,1,0,1,0,1
111110000,1,1,1,1,1,0,0,0,0
300100000,3,0,0,1,0,0,0,0,0
200101100,2,0,0,1,0,1,1,0,0
311110011,3,1,1,1,1,0,0,1,1
211001000,2,1,1,0,0,1,0,0,0
310100101,3,1,0,1,0,0,1,0,1
201010011,2,0,1,0,1,0,0,1,1
300010000,3,0,0,0,1,0,0,0,0
301011000,3,0,1,0,1,1,0,0,0
310000101,3,1,0,0,0,0,1,0,1
311111101,3,1,1,1,1,1,1,0,1
210100011,2,1,0,1,0,0,0,1,1
200011000,2,0,0,0,1,1,0,0,0
211010110,2,1,1,0,1,0,1,1,0
211111100,2,1,1,1,1,1,1,0,0
110101000,1,1,0,1,0,1,0,0,0
101010101,1,0,1,0,1,0,1,0,1
201100100,2,0,1,1,0,0,1,0,0
110000011,1,1,0,0,0,0,0,1,1
210001000,2,1,0,0,0,1,0,0,0
310000011,3,1,0,0,0,0,0,1,1
201110101,2,0,1,1,1,0,1,0,1
100000100,1,0,0,0,0,0,1,0,0
210110001,2,1,0,1,1,0,0,0,1
111100110,1,1,1,1,0,0,1,1,0
100010011,1,0,0,0,1,0,0,1,1
111000000,1,1,1,0,0,0,0,0,0
201111000,2,0,1,1,1,1,0,0,0
201110011,2,0,1,1,1,0,0,1,1
301101010,3,0,1,1,0,1,0,1,0
110111101,1,1,0,1,1,1,1,0,1
201100010,2,0,1,1,0,0,0,1,0
101011000,1,0,1,0,1,1,0,0,0
211001011,2,1,1,0,0,1,0,1,1
210111100,2,1,0,1,1,1,1,0,0
211001101,2,1,1,0,0,1,1,0,1
301101000,3,0,1,1,0,1,0,0,0
301001110,3,0,1,0,0,1,1,1,0
300111110,3,0,0,1,1,1,1,1,0
210000110,2,1,0,0,0,0,1,1,0
211101011,2,1,1,1,0,1,0,1,1
101111000,1,0,1,1,1,1,0,0,0
300100011,3,0,0,1,0,0,0,1,1
201011000,2,0,1,0,1,1,0,0,0
300101101,3,0,0,1,0,1,1,0,1
300101000,3,0,0,1,0,1,0,0,0
300100101,3,0,0,1,0,0,1,0,1
101100100,1,0,1,1,0,0,1,0,0
101101000,1,0,1,1,0,1,0,0,0
201001011,2,0,1,0,0,1,0,1,1
310010011,3,1,0,0,1,0,0,1,1
101110100,1,0,1,1,1,0,1,0,0
311011000,3,1,1,0,1,1,0,0,0
201110110,2,0,1,1,1,0,1,1,0
100011000,1,0,0,0,1,1,0,0,0
301110000,3,0,1,1,1,0,0,0,0
200111011,2,0,0,1,1,1,0,1,1
200010000,2,0,0,0,1,0,0,0,0
311000111,3,1,1,0,0,0,1,1,1
211010101,2,1,1,0,1,0,1,0,1
301101101,3,0,1,1,0,1,1,0,1
300001000,3,0,0,0,0,1,0,0,0
300111100,3,0,0,1,1,1,1,0,0
200111000,2,0,0,1,1,1,0,0,0
110110110,1,1,0,1,1,0,1,1,0
100100011,1,0,0,1,0,0,0,1,1
101110101,1,0,1,1,1,0,1,0,1
110011000,1,1,0,0,1,1,0,0,0
301000110,3,0,1,0,0,0,1,1,0
310110011,3,1,0,1,1,0,0,1,1
100100100,1,0,0,1,0,0,1,0,0
301100011,3,0,1,1,0,0,0,1,1
310100011,3,1,0,1,0,0,0,1,1
101001100,1,0,1,0,0,1,1,0,0
310011000,3,1,0,0,1,1,0,0,0
311101000,3,1,1,1,0,1,0,0,0
200100100,2,0,0,1,0,0,1,0,0
110011110,1,1,0,0,1,1,1,1,0
311011110,3,1,1,0,1,1,1,1,0
111100011,1,1,1,1,0,0,0,1,1
101111101,1,0,1,1,1,1,1,0,1
110010011,1,1,0,0,1,0,0,1,1
